i m .	j ai ans .
we re saved .	nous sommes sauves .
we re saved .	nous sommes sauvees .
we re smart .	nous sommes intelligents .
we re smart .	nous sommes intelligentes .
we re sorry .	nous sommes desoles .
we re sorry .	nous sommes desolees .
we re stuck .	nous sommes coinces .
we re stuck .	nous sommes coincees .
we re tired .	nous sommes fatigues .
we re tired .	nous sommes fatiguees .
we re twins .	nous sommes jumeaux .
we re twins .	nous sommes jumelles .
you are big .	tu es grand .
you are big .	tu es grande .
you are big .	vous etes grand .
you are big .	vous etes grande .
you are big .	vous etes grands .
you are big .	vous etes grandes .
you are mad .	tu es fou .
you re back .	tu es de retour .
you re back .	vous etes de retour .
you re cool .	t es sympa .
you re cool .	t es decontracte .
you re fair .	tu es juste .
you re fair .	vous etes juste .
you re fair .	vous etes justes .
you re fine .	tu vas bien .
you re free .	tu es libre .
you re free .	vous etes libres .
you re free .	vous etes libre .
you re good .	vous etes bon .
you re good .	vous etes bonne .
you re good .	vous etes bons .
you re good .	vous etes bonnes .
you re good .	tu es bon .
you re good .	tu es bonne .
you re good .	t es bon .
you re good .	t es bonne .
you re kind .	tu es gentil .
you re kind .	tu es gentille .
you re lazy .	tu es paresseux .
you re lazy .	tu es paresseuse .
you re lazy .	vous etes paresseux .
you re lazy .	vous etes paresseuses .
you re lazy .	vous etes paresseuse .
you re lost .	tu es perdu .
you re lost .	tu es perdue .
you re nice .	t es sympa .
you re nice .	vous etes sympa .
you re nice .	vous etes sympas .
you re nuts !	tu es fou !
you re nuts !	t es dingue !
you re nuts !	vous etes dingue !
you re nuts !	vous etes dingues !
you re nuts !	t es givre !
you re nuts !	t es givree !
you re nuts !	vous etes givre !
you re nuts !	vous etes givree !
you re nuts !	vous etes givres !
you re nuts !	vous etes givrees !
you re rich .	tu es riche .
you re rich .	vous etes riche .
you re rich .	vous etes riches .
you re rude .	tu es grossier .
you re rude .	vous etes grossiers .
you re rude .	vous etes grossiere .
you re rude .	vous etes grossieres .
you re rude .	tu es grossiere .
you re safe .	tu es en securite .
you re safe .	vous etes en securite .
you re safe .	tu es sauf .
you re safe .	vous etes saufs .
you re safe .	vous etes sauf .
you re safe .	vous etes sauve .
you re safe .	vous etes sauves .
you re safe .	tu es sauve .
you re sick !	vous etes malade !
you re sick !	tu es malade !
you re sick !	vous etes malade !
you re thin .	tu es mince .
you re thin .	vous etes mince .
you re thin .	vous etes minces .
you re weak .	tu es faible .
you re weak .	vous etes faible .
you re weak .	vous etes faibles .
he is a poet .	c est un poete .
he is a poet .	il est poete .
he is asleep .	il est endormi .
he is cranky .	il est excentrique .
he is eating .	il est en train de manger .
he is heroic .	il est heroique .
he is not in .	il n est pas chez lui .
he is not in .	il n est pas a l interieur .
he s english .	il est anglais .
he s a bigot .	c est un bigot .
he s a bigot .	c est un sectaire .
he s a bigot .	c est un fanatique .
he s a bigot .	c est un illumine .
he s in pain .	il souffre .
he s married .	il est marie .
he s my hero .	c est mon heros .
he s out now .	il est actuellement a l exterieur .
he s so cute .	il est si mignon !
he s so cute .	il est tellement mignon !
i am italian .	je suis italien .
i am ashamed .	j ai honte .
i am at home .	je suis a la maison .
i am curious .	je suis curieux .
i am married .	je suis mariee .
i am so sick .	je suis tellement malade .
i am so sick .	je suis si malade .
i am so sick .	c est moi qui suis tellement malade .
i am so sick .	c est moi qui suis si malade .
i am thirsty .	j ai soif .
i am working .	je suis en train de travailler .
i m a coward .	je suis un couard .
i m a coward .	je suis un lache .
i m a doctor .	je suis medecin .
i m a doctor .	je suis toubib .
i m a farmer .	je suis fermier .
i m a farmer .	je suis agriculteur .
i m a farmer .	je travaille dans ma ferme .
i m a farmer .	je suis un agriculteur .
i m a purist .	je suis un puriste .
i m addicted .	je suis drogue .
i m addicted .	je suis accro .
i m addicted .	j ai une assuetude .
i m all done .	j ai tout fini .
i m all done .	j ai tout termine .
i m all ears .	je suis tout ouie .
i m an adult .	je suis adulte .
i m an agent .	je suis un agent .
i m bleeding .	je suis en train de saigner .
i m confused .	je me melange les pinceaux .
i m creative .	je suis creatif .
i m creative .	je suis creative .
i m cultured .	je suis cultive .
i m cultured .	je suis cultivee .
i m divorced .	je suis divorce .
i m divorced .	je suis divorcee .
i m drowning .	je suis en train de me noyer .
i m eighteen .	j ai dix huit ans .
i m faithful .	je suis fidele .
i m famished .	je suis affame !
i m fearless .	je suis intrepide .
i m fighting .	je me bats .
i m finished .	j ai termine .
i m finished .	j en ai termine .
i m free now .	je suis libre maintenant .
i m freezing .	je suis gele .
i m grounded .	je suis cloue .
i m grounded .	je suis clouee .
i m gullible .	je suis credule .
i m homesick .	j ai le mal du pays .
i m hungover .	j ai la gueule de bois .
i m in paris .	je suis a paris .
i m innocent .	je suis innocent .
i m innocent .	je suis innocente .
i m innocent .	je suis ingenu .
i m innocent .	je suis ingenue .
i m involved .	je suis implique .
i m involved .	je suis impliquee .
i m managing .	je m en sors .
i m new here .	je suis nouveau ici .
i m no rebel .	je ne suis pas un rebelle .
i m no saint .	je ne suis pas un saint .
i m no saint .	je ne suis pas une sainte .
i m not busy .	je ne suis pas occupe .
i m not deaf .	je ne suis pas sourd .
i m not deaf .	je ne suis pas sourde .
i m not done .	je n ai pas fini .
i m not done .	je n ai pas termine .
i m not done .	je n en ai pas termine .
i m not dumb .	je ne suis pas abruti .
i m not dumb .	je ne suis pas abrutie .
i m not evil .	je ne suis pas mauvais .
i m not here .	je ne suis pas ici .
i m not here .	je ne suis pas la .
i m not home .	je ne suis pas chez moi .
i m not home .	je ne suis pas a la maison .
i m not hurt .	je ne suis pas blesse .
i m not hurt .	je ne suis pas blessee .
i m not mean .	je ne suis pas mechant .
i m not mean .	je ne suis pas mechante .
i m not rich .	je ne suis pas riche .
i m not sure .	je n en suis pas certain .
i m not sure .	je n en suis pas certaine .
i m not tall .	je ne suis pas grand .
i m not tall .	je ne suis pas grande .
i m not ugly .	je ne suis pas laid .
i m not ugly .	je ne suis pas laide .
i m not well .	je ne vais pas bien .
i m off duty .	je ne suis pas en service .
i m offended .	je suis offense .
i m offended .	je suis offensee .
i m outraged .	je suis indigne .
i m outraged .	je suis indignee .
i m powerful .	je suis puissant .
i m powerful .	je suis puissante .
i m prepared .	je suis pret .
i m prepared .	je suis preparee .
i m prepared .	je suis prepare .
i m punctual .	je suis ponctuel .
i m punctual .	je suis ponctuelle .
i m rational .	je suis rationnel .
i m rational .	je suis rationnelle .
i m reformed .	je me suis amende .
i m reformed .	je me suis amendee .
i m reliable .	je suis fiable .
i m restless .	je ne tiens pas en place .
i m ruthless .	je suis impitoyable .
i m shooting .	je tire .
i m sleeping .	je suis en train de dormir .
i m so sorry .	je suis tellement desole !
i m so sorry .	je suis tellement desolee !
i m so tired !	je suis si fatigue !
i m so tired !	je suis tellement las !
i m speaking .	je suis en train de parler .
i m starving !	je meurs de faim !
i m starving .	je creve de faim !
i m starving .	j ai la fringale .
i m stubborn .	je suis tetu .
i m stubborn .	je suis tetue .
i m stubborn .	je suis obstine .
